City,Place Type,Name,PlaceID,Address,Rating,Author,Review
Colombo,cafe,Café on the 5th,ChIJVxp0mWZZ4joRX7Yqi7ixl_8,"108 5th Ln, Colombo",4.2,Tushar Amalean,"I ordered takeaway of egg hoppers with chicken curry. Found the sri lankan curry to be very oily, so only selected the chicken piece and had with egg hoppers. Hoppers were good though.

10th August 2024 Dinner Takeaway from Cafe on the 5th, Colombo 3
Ordered Hoppers set with Chicken curry and seeni sambol
Total paid Rs.1,950
Two egg hoppers, 4 plain hoppers with Seeni sambol and Chicken Curry was my choice. Must say that their hoppers are crispy and tasty. Only disspointment was that their egg hoppers are not that tasty because their eggs are not of good quality. Should have been golden yolk. Also they should sprinkle some salt and pepper on the egg hoppers. That would make it better. Their seeni sambol was tasty and up to mark. Chicken curry was kind of ok. Nothing so exciting, just a regular curry."
Colombo,cafe,Café on the 5th,ChIJVxp0mWZZ4joRX7Yqi7ixl_8,"108 5th Ln, Colombo",4.2,Rajitha Dissanayake,"⛾ Café on the 5th gives a great dining experience.

⛻ The food is truly amazing and very reasonably priced, especially considering the location and service. It's delicious and definitely worth the price.

⛻ The atmosphere is pleasant and calm, adding extra value to your visit. The vibe here is fantastic, making it a great place to hang out with friends and colleagues.

⛻ The service is excellent, and I love this place. I’ll definitely be coming back more often.

♨ Highly recommend Café on the 5th! ♨"
Colombo,cafe,Café on the 5th,ChIJVxp0mWZZ4joRX7Yqi7ixl_8,"108 5th Ln, Colombo",4.2,Donna Simcox,"Great place and the food is delicious! We came for a family reunion. Atmosphere is lovely and Yoounus was a fabulous host and his suggestions for the menu were spot on. The food was so good we forgot to take photos, but here’s my empty bowl."
Colombo,cafe,Monkeybean Cafe,ChIJleD4QoRZ4joR3m-IpGQQtLo,"16 Sellamuttu Ave, Colombo",4.3,DAMITH CHANDANA,"Monkeybean Cafe is a hidden gem that perfectly combines stunning sea views, a tranquil atmosphere, and delectable food. The moment you walk in, you're greeted by the friendly and attentive staff.

The ambiance is serene and ideal for getting some work done. The spacious seating areas, complemented by the calming sound of the waves, create a peaceful working environment that's hard to beat.

The menu offers a delightful array of dishes, all prepared with fresh ingredients. From the hearty breakfast options to the delicious lunch specials, every bite is a treat. The coffee is exceptional, making it a perfect spot for coffee aficionados.

Overall, Monkeybean Cafe is a fantastic place to relax, work, and enjoy great food with a breathtaking view. Highly recommended for anyone looking to combine productivity with leisure."
Colombo,cafe,Monkeybean Cafe,ChIJleD4QoRZ4joR3m-IpGQQtLo,"16 Sellamuttu Ave, Colombo",4.3,Melody Carragher,We just had a coffee here which was delicious. The ladies serving are very beautiful and make you feel so welcome. Atmosphere is great and awesome location as you can watch the waves roll in as you enjoy your coffee!
Colombo,cafe,Monkeybean Cafe,ChIJleD4QoRZ4joR3m-IpGQQtLo,"16 Sellamuttu Ave, Colombo",4.3,Laurence keen,"Food was amazing! It's honestly been hard to find some good quality (western) cafe food in Colombo; but we were finally fortunate enough to find this place and it definitely hit the spot. Only a 300 meter walk from the Granbell Hotel, which is super convenient. Reasonable prices and the staff are super sweet and helpful!"
Colombo,cafe,Monkeybean Cafe,ChIJleD4QoRZ4joR3m-IpGQQtLo,"16 Sellamuttu Ave, Colombo",4.3,Ishani Wijesinghe,Not the ideal place for a coffee date! There aren’t many options to select from! Their burger is not worth the price! However absolutely loved their Cafe Mocha!! The staff is super nice.
Colombo,cafe,Monkeybean Cafe,ChIJleD4QoRZ4joR3m-IpGQQtLo,"16 Sellamuttu Ave, Colombo",4.3,Gayan Chathuranga,"I must say, the prices here are quite high. I was charged Rs 400 just for a spoon of vanilla, which was not listed on the menu and the staff did not mention when I asked—this is unacceptable. The place wasn't crowded when I visited, but there is no dedicated parking, so you have to park on the road. On a positive note, the staff was friendly.
🥴"
Colombo,cafe,Blooming Breakfast Resto Bar & Cafe,ChIJA_HUOhRZ4joRBpxDMVWHVEE,"No.30, Arcade Independence Square, Bauddhaloka Mawatha",4.6,Darsha Fonseka,"This bistro is a gem! The staff was warm and professional, making us feel welcome from the start. The food was absolutely delicious, with every dish beautifully presented and full of flavor. The ambiance is elegant and classy, perfect for a refined breakfast. While the prices are on the higher side, it’s worth every penny for the exceptional quality and experience. Highly recommend!"
Colombo,cafe,Blooming Breakfast Resto Bar & Cafe,ChIJA_HUOhRZ4joRBpxDMVWHVEE,"No.30, Arcade Independence Square, Bauddhaloka Mawatha",4.6,Asanka Maduranga,"I had the pleasure of visiting this charming establishment yesterday for late night breakfast, and it was a delightful experience from start to finish. We opted for the steak breakfast and pasta paired with homemade lemonade drinks, and I must say, both the food and the drinks were absolutely fantastic. Food was bursting with flavor, and the refreshing lemonade was the perfect complement to our meal.

The staff were incredibly friendly and attentive, going above and beyond to ensure we had a pleasant dining experience. They even took the time to engage with us personally, which added a special touch to our visit.

The ambience of the place was also wonderful, creating a warm and inviting atmosphere that made us feel right at home. It's clear that a lot of care and effort has gone into creating such a lovely space.

Overall, I was thoroughly impressed with everything about this place, from the delicious food and drinks to the exceptional service and inviting ambience. Keep up the fantastic work!"
Colombo,cafe,Blooming Breakfast Resto Bar & Cafe,ChIJA_HUOhRZ4joRBpxDMVWHVEE,"No.30, Arcade Independence Square, Bauddhaloka Mawatha",4.6,Aishath Shuzana,"visited Blooming and was thoroughly impressed by the experience. The cafe has a warm and inviting ambiance, blending modern chic with cozy comfort. The food was outstanding, with every dish bursting with flavor and beautifully presented. The staff's exceptional customer service made the visit even more enjoyable, and the complimentary add-ons were a delightful surprise. The pricing was very cheap as well. Overall, this place is a must-visit spot, and I can't wait to return."
Colombo,cafe,Blooming Breakfast Resto Bar & Cafe,ChIJA_HUOhRZ4joRBpxDMVWHVEE,"No.30, Arcade Independence Square, Bauddhaloka Mawatha",4.6,Yohan Uthpala,"Blooming Breakfast Café is a cozy 24/7 spot in the heart of Colombo, perfect for all-day breakfast lovers. The café offers an extensive menu inspired by international cuisines, including French, Mexican, and American dishes. Their grilled cheese is a highlight—crispy on the outside, gooey on the inside, and perfectly paired with their strong, aromatic coffee. The hot chocolate is rich and velvety, ideal for a sweet indulgence. With a comfortable upstairs seating area, friendly staff, and a wide variety of delicious options, Blooming Breakfast is an excellent choice for anyone looking to enjoy a satisfying meal at any hour."
Colombo,cafe,Blooming Breakfast Resto Bar & Cafe,ChIJA_HUOhRZ4joRBpxDMVWHVEE,"No.30, Arcade Independence Square, Bauddhaloka Mawatha",4.6,Shanila Thirimanne,"Good tasting food. Burger was well prepped and well done. Yet a bit on the pricey side. I guess opening for 24hours and the ambiance covers for it. Have a good collection of smoothies as well.
Overall, good service."
Colombo,cafe,A Healing Café - Hotel MaRadha,ChIJC2onENdb4joR1qzEeyYIau0,"31, St. Kilda's Lane, Marine Drive, Colombo",4.6,Sathieeswaran Mohanathasan,"One of my favorite cafes in Colombo without any doubt. The reasons:

- it’s 24 hours (what else do you need? 😜)
- The interior is bloody brilliant and calming just how a cafe should be
- Food is good
- I love their coffees (tried few different ones and no complaints whatsoever)
- They do have some live music during the weekend or special occasions

I go to the healing cafe often especially to heal myself from the burnouts and just to relax and chill and every-time it works fine maybe because of the calm atmosphere

Prices are not expensive and somewhat reasonable"
Colombo,cafe,A Healing Café - Hotel MaRadha,ChIJC2onENdb4joR1qzEeyYIau0,"31, St. Kilda's Lane, Marine Drive, Colombo",4.6,Inosh Perera,Went to work for a few hours and the staff was super helpful. Nice atmosphere. Siddik who was on duty came and handed me the WiFi details. Very nice of him. Super helpful throughout the whole time. Coffee and food was nice as well. Place is open 24/7.
Colombo,cafe,A Healing Café - Hotel MaRadha,ChIJC2onENdb4joR1qzEeyYIau0,"31, St. Kilda's Lane, Marine Drive, Colombo",4.6,Oshini Nugapitiya,Found the perfect spot to have my breakfast. 10/10 for food and drink. Thanks Siddeeq for the amazing customer service. Will definitely come back🤩
Colombo,cafe,A Healing Café - Hotel MaRadha,ChIJC2onENdb4joR1qzEeyYIau0,"31, St. Kilda's Lane, Marine Drive, Colombo",4.6,Sameena Gunawardena,"Excellent place to quickly grab a meal, drink or even have breakfast, lunch or dinner. Healing Cafe has been a go to place for the last couple of years.. Best service, relaxed environment and amazing customer service. Special recommendation and appreciation to Siddeeq who has been giving exceptional service for us for last two years.."
Colombo,cafe,A Healing Café - Hotel MaRadha,ChIJC2onENdb4joR1qzEeyYIau0,"31, St. Kilda's Lane, Marine Drive, Colombo",4.6,Vayshu Vayshalni,"I recently visited Healing Cafe and tried their wade with a cup of filter coffee. The wade was crispy and packed with flavor, and the coffee was rich and smooth, just how I like it. The relaxed nature ambiance made it even better, and I love that they’re open 24/7. Whether you're grabbing a quick snack or unwinding with a coffee, this place is a must-visit!"
Colombo,cafe,BOO Cafe,ChIJ0_HVHMNb4joR1H_LRbTPVkw,"No. 237 Galle Rd, Colombo",4.4,Kevin Prasad,Good food.. Well priced and good service.. Can't fault this place.. nice beach view.. Simply awesome.. 💜
Colombo,cafe,BOO Cafe,ChIJ0_HVHMNb4joR1H_LRbTPVkw,"No. 237 Galle Rd, Colombo",4.4,Grison Gray,"Superb view, Reasonable price and attractive atmosphere most importantly good and friendly customer service . keep it up guys. cheers!!!"
